ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
346,Dissidia Final Fantasy -Arcade-,Massive Explosion (Short ver.),BMS,9383415,9736626,0,-
347,Dissidia Final Fantasy -Arcade-,God in Fire - arrange - from DISSIDIA FINAL FANTASY,BMS,9943452,9858491,0,0
348,Dissidia Final Fantasy Opera Omnia,Spark from DISSIDIA FINAL FANTASY OPERA OMNIA,BMS,9746556,9828452,0,-
349,Dissidia Final Fantasy NT,Dare to Defy,BMS,9917683,9803279,0,0
350,Final Fantasy Type-0,We Have Come,EMS,9663599,9694853,0,-
351,Final Fantasy Type-0,We Have Come,BMS,9816327,9613328,0,0
352,Final Fantasy Type-0,War: Warrior Worth a Thousand,BMS,9903448,9865214,0,-
353,Final Fantasy Type-0,The Earth Under Our Feet,FMS,9870968,9884097,0,-
354,Final Fantasy Type-0,War: The White Weapon,BMS,9379849,9900482,0,0
355,Final Fantasy Type-0,Soar,FMS,9781818,9524238,0,-
356,Final Fantasy Type-0,Tempus Finis,FMS,9740920,9814754,0,-
357,Final Fantasy Type-0,Vermilion Fire,BMS,9822976,9757493,0,-
358,Theatrhythm Final Fantasy,The Chaos Shrine - TFF Menu Arrangement - From FF,BMS,9871886,9960688,0,-
359,Theatrhythm Final Fantasy,Return of the Warrior - TFF Menu Arrangement - From FFIII,FMS,9796552,9793011,0,0
360,Theatrhythm Final Fantasy,Battle at the Big Bridge - TFF Menu Arrangement - From FFV,BMS,9638796,9694391,0,0
361,Theatrhythm Final Fantasy Curtain Call,THEATRHYTHM FINAL FANTASY CURTAIN CALL Special Arrangement Medley,EMS,9681953,9710465,0,-
362,Theatrhythm Final Fantasy Curtain Call,Choose Your Combatants - TFFCC Menu Arrangement - From FFT,BMS,9842444,9679654,0,-
363,Theatrhythm Final Fantasy Curtain Call,THEATRHYTHM FINAL FANTASY CURTAIN CALL Special Arrangement Medley,BMS,9894168,9909155,0,-
364,Theatrhythm Final Fantasy All-star Carnival,Perlude - TFFAC Menu Arrangement - From FF,FMS,9899614,9736243,0,0
365,Theatrhythm Final Fantasy All-star Carnival,Matoya's Cave - TFFAC Arrangement - From FF,FMS,9633048,9749693,0,0
366,Theatrhythm Final Fantasy All-star Carnival,The Red Wings - TFFAC Arrangement - From FFIV,FMS,9706619,9776230,0,0
367,Theatrhythm Final Fantasy All-star Carnival,Main Theme of Final Fantasy V - TFFAC Arrangement - From FFV,BMS,9825919,9929851,0,0
368,Theatrhythm Final Fantasy All-star Carnival,Battle at the Big Bridge - TFFAC Arrangement - From FFV,BMS,8957444,9356919,0,0
369,Theatrhythm Final Fantasy All-star Carnival,Locke's Theme - TFFAC Arrangement - From FFVI,BMS,9835490,9842986,0,0
370,Theatrhythm Final Fantasy All-star Carnival,J-E-N-O-V-A - TFFAC Arrangement - From VII,BMS,9690415,9802661,0,0
371,Theatrhythm Final Fantasy All-star Carnival,Fight with Seymour - TFFAC Arrangement - From FFX,BMS,9438332,9414890,0,0
372,Theatrhythm Final Fantasy All-star Carnival,TFFCC Special Arrangement Medley - TFFAC Arrangement - From TFFCC,BMS,9888060,9752861,0,0
373,Theatrhythm Final Bar Line,FFVII Special Arrangement Medley - TFBL Arrangement - From FFVII,BMS,9769255,9683743,0,0
374,Theatrhythm Final Bar Line,THEATRHYTHM FINAL BAR LINE Special Battle Arrangement Medley,BMS,9686232,9750200,0,0
375,Final Fantasy Record Keeper,Chaos Shrine FFRK Ver. arrangement from FFI,BMS,9823353,9844211,0,0
376,Final Fantasy Record Keeper,Battle at the Big Bridge~Ver.2~ FFRK Ver. arrange,BMS,9586130,9865801,0,0
377,Final Fantasy Record Keeper,The Decisive Battle FFRK Ver. arrange from FFVI,BMS,9356520,9692308,0,0
378,Final Fantasy Record Keeper,The Chase FFRK Ver. arrange from FFVII,BMS,9759465,9857778,0,0
379,Final Fantasy Record Keeper,The Man with the Machine Gun FFRK Ver. arrange from FFVIII,BMS,9885965,9833333,0,-
380,Final Fantasy Record Keeper,Blinded by Light FFRK Ver. arrange from FFXIII,BMS,9852941,9618658,0,0
381,Final Fantasy Record Keeper,Stand Your Ground FFRK Ver. arrange from FFXV,BMS,9660377,9882813,0,0
382,Final Fantasy Record Keeper,UTAKATA FFRK Ver. arrange from FFType-0,BMS,9802575,9745295,0,-
383,Mobius Final Fantasy,Warrior of Light - Mobius Final Fantasy,BMS,9833819,9658349,0,0
384,Mobius Final Fantasy,Dancing Edge,BMS,9772487,9834495,0,0
385,Mobius Final Fantasy,Magic Madness,BMS,9759791,9886441,0,-
386,Mobius Final Fantasy,Bloodthirst,BMS,9560197,9548257,0,0
387,Mobius Final Fantasy,Femme Fatale,BMS,9900285,9950758,0,-
388,Final Fantasy: The 4 Heroes of Light,The 4 Heroes of Light,FMS,9855792,9769262,0,-
389,Final Fantasy: The 4 Heroes of Light,Fiend Encounter,BMS,9802778,9848443,0,0
390,World of Final Fantasy,World of Battle,BMS,9949761,9831111,0,-
391,Stranger of Paradise Final Fantasy Origin,Jack's Theme,BMS,9609056,9778455,0,-
392,Stranger of Paradise Final Fantasy Origin,Battle: Chaos Advent,BMS,9841244,9900110,0,0
393,Stranger of Paradise Final Fantasy Origin,"Battle: False Knight - Motif from ""Battle""",BMS,9453767,9933333,0,0
394,Final Fantasy Tribute Thanks,Opening Theme,BMS,9809432,9818024,0,0
395,Bra?Bra Final Fantasy / Brass de Bravo,Moogles' Theme,FMS,9885794,9789819,0,-
396,Bra?Bra Final Fantasy / Brass de Bravo,FF Medley,FMS,9730994,9681956,0,-
397,Bra?Bra Final Fantasy Brass de Bravo 2,Battle at the Big Bridge,BMS,9744681,9934513,0,0
398,Bra?Bra Final Fantasy Brass de Bravo 2,Mambo de Chocobo,FMS,9488153,9833972,0,-
399,Final Fantasy Fables: Chocobo's Dungeon,Dungeon Hero X's Theme,BMS,9523681,9751553,0,0
400,Final Fantasy Fables: Chocobo's Dungeon,Pop-Up Duel,BMS,9791005,9681745,0,0
401,Final Fantasy Fables: Chocobo's Dungeon,Leviathan Battle,BMS,9385210,9594719,0,-
402,Final Fantasy Fables: Chocobo's Dungeon,Guardian of the Dark II,BMS,9785079,9756098,0,-
403,Final Fantasy Fables: Chocobo's Dungeon,Raffaello Battle,BMS,9751094,9704608,0,0
