ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
90,Final Fantasy VII,Gold Saucer,FMS,9570860,9731855,0,0
91,Final Fantasy VII,Cosmo Canyon,FMS,9670886,9591159,0,-
92,Final Fantasy VII,Aerith's Theme,BMS,9891892,9738636,0,-
93,Final Fantasy VII,The Highwind Takes to the Skies,FMS,9815436,9870159,0,-
94,Final Fantasy VII,Judgment Day,FMS,9916667,9841096,0,-
95,Final Fantasy VII,JENOVA,BMS,9821656,9767068,0,0
96,Final Fantasy VII,Birth of a God,BMS,9726496,9827199,0,0
97,Final Fantasy VII,One-Winged Angel,BMS,9862004,9720571,0,0
98,Final Fantasy VII Advent Children,Advent: One-Winged Angel,EMS,9605442,9760542,0,-
99,Final Fantasy VII Advent Children,Beyond the Wasteland,BMS,8890000,9506454,0,-
100,Final Fantasy VII Advent Children,Those Who Fight (Piano Version),BMS,9615385,9867824,0,-
101,Final Fantasy VII Advent Children,Aerith's Theme (Piano Version),FMS,9937269,9787879,0,-
102,Final Fantasy VII Advent Children,Battle in the Forgotten City,BMS,9738739,9739166,0,-
103,Final Fantasy VII Advent Children,Divinity II,BMS,9851931,9616022,0,0
104,Final Fantasy VII Advent Children,J-E-N-O-V-A (AC Version),BMS,9893528,9936726,0,-
105,Final Fantasy VII Advent Children,Advent: One-Winged Angel,BMS,9732824,9878221,0,0
106,Final Fantasy VII Advent Children,Cloud Smiles,FMS,9756892,9857391,0,-
107,Last Order: Final Fantasy VII,Last Order,BMS,9446035,9799572,0,-
108,Crisis Core -Final Fantasy VII-,CRISIS CORE Theme - Succession,EMS,9766038,9384054,0,-
109,Crisis Core -Final Fantasy VII-,Encounter,BMS,9898592,9140034,0,0
110,Crisis Core -Final Fantasy VII-,Timely Ambush (from FFVII 'Let the Battles Begin!'),FMS,9895833,9595918,0,-
111,Crisis Core -Final Fantasy VII-,A Flower Blooming in the Slums (from FFVII 'Aerith's Theme'),FMS,9855172,9851220,0,-
112,Crisis Core -Final Fantasy VII-,The SOLDIER Way,BMS,9774194,9679402,0,0
113,Crisis Core -Final Fantasy VII-,The Price of Freedom,BMS,9705128,9328998,0,-
114,Final Fantasy VII Remake,Hollow,EMS,9579710,9882353,0,-
115,Final Fantasy VII Remake,Bombing Mission,BMS,9800745,9405885,0,-
116,Final Fantasy VII Remake,Tifa's Theme - Seventh Heaven,FMS,9461481,9795147,0,-
117,Final Fantasy VII Remake,Main Theme of FFVII - Sector 7 Undercity,FMS,9757219,9838446,0,-
118,Final Fantasy VII Remake,Let the Battles Begin! - A Merc's Job,BMS,9803478,9743383,0,-
119,Final Fantasy VII Remake,The Airbuster,BMS,9745178,9895574,0,0
120,Final Fantasy VII Remake,Collasped Expressway,FMS,9910628,9705785,0,0
121,Final Fantasy VII Remake,High Five,BMS,9887202,9862620,0,0
122,Final Fantasy VII Remake,J-E-N-O-V-A - Quickening,BMS,9608541,9889081,0,0
123,Final Fantasy VII Remake,Midgar Expressway,FMS,9723473,9946429,0,0
124,Final Fantasy VII Remake,One-Winged Angel - Rebirth,BMS,9876872,9891101,0,0
125,Final Fantasy VIII,Waltz for the Moon,EMS,9150485,9506609,0,-
